Año lectivo;AMIE;Nombre_Institución;Zona;Provincia;Cod_Provincia;Cantón;Cod_Cantón;Parroquia;Cod_Parroquia;Escolarización;Tipo Educación;Nivel Educación;Sostenimiento;Área;Régimen Escolar;Jurisdicción;Modalidad;Jornada;Tenencia Inmueble Edificio;Acceso Edificio;Docentes Femenino;Docentes Masculino;Total Docentes;Administrativos Femenino;Administrativos Masculino;Total Administrativos;Estudiantes Femenino;Estudiantes Masculino;Total Estudiantes;EstudiantesMasculinoMenor3Años;EstudiantesFemeninoMenor3Años;EstudiantesMasculino3Años;EstudiantesFemenino3Años;EstudiantesMasculino4Años;EstudiantesFemenino4Años;EstudiantesMasculinoPrimerAñoEGB;EstudiantesFemeninoPrimerAñoEGB;EstudiantesMasculinoSegundoAñoEGB;EstudiantesFemeninoSegundoAñoEGB;EstudiantesMasculinoTercerAñoEGB;EstudiantesFemeninoTercerAñoEGB;EstudiantesMasculinoCuartoAñoEGB;EstudiantesFemeninoCuartoAñoEGB;EstudiantesMasculinoQuintoAñoEGB;EstudiantesFemeninoQuintoAñoEGB;EstudiantesMasculinoSextoAñoEGB;EstudiantesFemeninoSextoAñoEGB;EstudiantesMasculinoSeptimoAñoEGB;EstudiantesFemeninoSeptimoAñoEGB;EstudiantesMasculinoOctavoAñoEGB;EstudiantesFemeninoOctavoAñoEGB;EstudiantesMasculinoNovenoAñoEGB;EstudiantesFemeninoNovenoAñoEGB;EstudiantesMasculinoDecimoAñoEGB;EstudiantesFemeninoDecimoAñoEGB;EstudiantesMasculinoPrimerAñoBACH;EstudiantesFemeninoPrimerAñoBACH;EstudiantesMasculinoSegundoAñoBACH;EstudiantesFemeninoSegundoAñoBACH;EstudiantesMasculinoTercerAñoBACH;EstudiantesFemeninoTercerAñoBACH;EstudiantesMasculinoNoEscolarizada;EstudiantesFemeninoNoEscolarizada;EstudiantesMasculinoDesconoce;EstudiantesFemeninoDesconoce;EstudiantesMasculinoPostBasico;EstudiantesFemeninoPostBasico;Estudiantes MasculinoAlfabetización;Estudiantes FemeninoAlfabetización;EstudiantesFemeninoArtesanal;EstudiantesMasculinoArtesanal;Estudiantes MasculinoBasica Acelerada;Estudiantes FemeninoBasica Acelerada
2024-2025 Inicio;01H00659;ESCUELA DE EDUCACION BASICA 10 DE MAYO;Zona 5;GUAYAS;09;BALAO;0903;BALAO;090350;Escolarizada;Ordinaria;Educación Básica;Fiscal;Urbana;Costa;Intercultural;Presencial;Matutina;Propio;Terrestre;1;0;1;0;0;0;5;6;11;0;0;0;0;0;0;1;1;2;1;0;0;1;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025 Inicio;01H01581;ESCUELA DE EDUCACIÓN BÁSICA 12 DE OCTUBRE;Zona 6;AZUAY;01;SANTA ISABEL;0108;EL CARMEN DE PIJILI;010852;Escolarizada;Ordinaria;Inicial y EGB;Fiscal;Rural;Costa;Intercultural;Presencial;Matutina;Propio;Terrestre;8;1;9;0;0;0;60;86;146;0;0;1;3;4;5;7;3;13;7;5;6;5;3;3;6;8;2;7;5;14;8;7;4;12;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025 Inicio;01H01592;ESCUELA DE EDUCACIÓN BÁSICA 15 DE OCTUBRE;Zona 6;AZUAY;01;SANTA ISABEL;0108;EL CARMEN DE PIJILI;010852;Escolarizada;Ordinaria;Educación Básica;Fiscal;Rural;Costa;Intercultural;Presencial;Matutina;Propio;Terrestre;0;1;1;0;0;0;4;3;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025 Inicio;01H01574;ESCUELA DE EDUCACIÓN BÁSICA 16 DE AGOSTO;Zona 6;AZUAY;01;PUCARA;0106;PUCARA;010650;Escolarizada;Ordinaria;Educación Básica;Fiscal;Urbana;Costa;Intercultural;Presencial;Matutina;Propio;Terrestre;1;1;2;0;0;0;18;18;36;0;0;0;0;0;0;3;3;4;0;1;4;1;1;2;1;1;0;0;1;3;4;2;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025 Inicio;01H01560;ESCUELA DE EDUCACIÓN BÁSICA 16 DE ENERO;Zona 6;AZUAY;01;CAMILO PONCE ENRIQUEZ;0115;CAMILO PONCE ENRIQUEZ;011550;Escolarizada;Ordinaria;Inicial y EGB;Fiscal;Urbana;Costa;Intercultural;Presencial;Matutina;Propio;Terrestre;3;0;3;0;0;0;24;23;47;0;0;2;0;1;3;3;7;2;4;0;1;3;4;2;4;2;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025 Inicio;01H01582;ESCUELA DE EDUCACION BASICA 16 DE OCTUBRE;Zona 6;AZUAY;01;SANTA ISABEL;0108;EL CARMEN DE PIJILI;010852;Escolarizada;Ordinaria;Educación Básica;Fiscal;Rural;Costa;Intercultural;Presencial;Matutina;Propio;Terrestre;0;1;1;0;0;0;4;6;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;1;0;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025 Inicio;01H01561;ESCUELA DE EDUCACIÓN BÁSICA 17 DE JULIO;Zona 6;AZUAY;01;CAMILO PONCE ENRIQUEZ;0115;CAMILO PONCE ENRIQUEZ;011550;Escolarizada;Ordinaria;Inicial y EGB;Fiscal;Urbana;Costa;Intercultural;Presencial;Matutina y Vespertina;Propio;Terrestre;12;2;14;0;0;0;107;128;235;0;0;5;9;12;11;17;8;11;6;16;11;6;11;13;7;7;5;11;11;11;9;11;11;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025 Inicio;01H00640;ESCUELA DE EDUCACIÓN BÁSICA 19 DE MARZO;Zona 5;GUAYAS;09;BALAO;0903;BALAO;090350;Escolarizada;Ordinaria;Educación Básica;Fiscal;Urbana;Costa;Intercultural;Presencial;Matutina;Propio;Terrestre;2;0;2;0;0;0;19;21;40;0;0;0;0;0;0;2;3;4;3;1;1;4;5;1;1;4;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025 Inicio;01B00069;ESCUELA DE EDUCACIÓN BÁSICA 20 DE AGOSTO;Zona 6;AZUAY;01;SANTA ISABEL;0108;EL CARMEN DE PIJILI;010852;Escolarizada;Ordinaria;Educación Básica;Fiscal;Rural;Costa;Intercultural Bilingüe;Presencial;Matutina;Propio;Terrestre;0;1;1;0;0;0;1;4;5;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025 Inicio;01H01588;ESCUELA DE EDUCACIÓN BÁSICA 22 DE NOVIEMBRE;Zona 6;AZUAY;01;SANTA ISABEL;0108;EL CARMEN DE PIJILI;010852;Escolarizada;Ordinaria;Educación Básica;Fiscal;Rural;Costa;Intercultural;Presencial;Matutina;Propio;Terrestre;1;0;1;0;0;0;5;10;15;0;0;0;0;0;0;2;0;0;0;1;2;1;0;0;0;1;2;2;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
